Life expectancy by age and sex [demo_mlexpec];;
;;
Last update;16.11.17;
Extracted on;14.12.17;
Source of data;Eurostat;
;;
AGE;Less than 1 year;
UNIT;Year;
GEO;Slovenia;
;;
TIME/SEX;Males;Females
2004;73,5;80,8
2005;73,9;80,9
2006;74,5;82,0
2007;74,6;82,0
2008;75,5;82,6
2009;75,9;82,7
2010;76,4;83,1
2011;76,8;83,3
2012;77,1;83,3
2013;77,2;83,6
2014;78,2;84,1
2015;77,8;83,9
;;
Special value:;;
:;not available;
